LABELS
SEPARATOR TAB
DATA
'Ovis aries'	Sheep (Ovis aries)
'Ambrosia trifida'	Giant ragweed (Ambrosia trifida)
'Ambrosia artemisiifolia'	Common ragweed (Ambrosia artemisiifolia)
'Plantago lanceolata'	Narrow-leaved plantain (Plantago lanceolata)
'Sesamum indicum'	Sesame (Sesamum indicum)
'Syringa vulgaris'	Common lilac (Syringa vulgaris)
'Ligustrum vulgare'	Common privet (Ligustrum vulgare)
'Olea europaea'	Common olive (Olea europaea)
'Solanum tuberosum'	Potato (Solanum tuberosum)
'Solanum lycopersicum'	Tomato (Solanum lycopersicum)
'Capsicum annuum'	Sweet pepper (Capsicum annuum)
'Panax ginseng'	Ginseng (Panax ginseng)
'Apium graveolens'	Celery (Apium graveolens)
'Daucus carota'	Carrot (Daucus carota)
'Ricinus communis'	Castor bean (Ricinus communis)
'Manihot esculenta'	Cassava (Manihot esculenta)
'Hevea brasiliensis'	Para rubber tree (Hevea brasiliensis)
'Vigna radiata'	Mung bean (Vigna radiata)
'Lathyrus oleraceus'	Pea (Lathyrus oleraceus)
'Phaseolus vulgaris'	Common bean (Phaseolus vulgaris)
'Lupinus angustifolius'	Narrow-leaved blue lupin (Lupinus angustifolius)
'Lupinus albus'	White lupin (Lupinus albus)
'Lens culinaris'	Lentil (Lens culinaris)
'Cicer arietinum'	Chickpea (Cicer arietinum)
'Ficus benjamina'	Weeping fig (Ficus benjamina)
'Parietaria judaica'	Spreading pellitory (Parietaria judaica)
'Parietaria officinalis'	Eastern pellitory-of-the-wall (Parietaria officinalis)
'Rubus idaeus'	Red raspberry (Rubus idaeus)
'Pyrus communis'	Pear (Pyrus communis)
'Prunus dulcis'	Almond (Prunus dulcis)
'Cucurbita maxima'	Winter squash (Cucurbita maxima)
'Cucumis melo'	Muskmelon (Cucumis melo)
'Sinapis alba'	White mustard (Sinapis alba)
'Brassica oleracea'	Cabbage (Brassica oleracea)
'Brassica rapa'	Field mustard (Brassica rapa)
'Brassica napus'	Rapeseed (Brassica napus)
'Brassica juncea'	Brown mustard (Brassica juncea)
'Carica papaya'	Papaya (Carica papaya)
'Theobroma cacao'	Cacao (Theobroma cacao)
'Gossypium hirsutum'	Upland cotton (Gossypium hirsutum)
'Diospyros kaki'	Japanese persimmon (Diospyros kaki)
'Bertholletia excelsa'	Brazil nut (Bertholletia excelsa)
'Actinidia deliciosa'	Kiwifruit (Actinidia deliciosa)
'Actinidia chinensis'	Golden kiwifruit (Actinidia chinensis)
'Fagopyrum esculentum'	Common buckwheat (Fagopyrum esculentum)
'Amaranthus retroflexus'	Redroot amaranth (Amaranthus retroflexus)
'Amaranthus tricolor'	Joseph's-coat (Amaranthus tricolor)
'Chenopodium album'	Lamb's quarters (Chenopodium album)
'Carya cathayensis'	Chinese hickory (Carya cathayensis)
'Carya illinoinensis'	Pecan (Carya illinoinensis)
'Juglans mandshurica'	Manchurian walnut (Juglans mandshurica)
'Juglans regia'	English walnut (Juglans regia)
'Juglans nigra'	Black walnut (Juglans nigra)
'Ostrya carpinifolia'	European hop-hornbeam (Ostrya carpinifolia)
'Carpinus betulus'	European hornbeam (Carpinus betulus)
'Alnus glutinosa'	European alder (Alnus glutinosa)
'Fagus sylvatica'	European beech (Fagus sylvatica)
'Castanea sativa'	European chestnut (Castanea sativa)
'Quercus mongolica'	Mongolian oak (Quercus mongolica)
'Quercus ilex'	Holly oak (Quercus ilex)
'Quercus acutissima'	Sawtooth oak (Quercus acutissima)
'Quercus alba'	White oak (Quercus alba)
'Papaver somniferum'	Opium poppy (Papaver somniferum)
'Anacardium occidentale'	Cashew (Anacardium occidentale)
'Pistacia vera'	Pistachio (Pistacia vera)
'Zanthoxylum bungeanum'	Sichuan pepper (Zanthoxylum bungeanum)
'Citrus sinensis'	Sweet orange (Citrus sinensis)
